Location,Stay At Home Order,Non-Essential Business Closures,Large Gatherings Ban,State-Mandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,Footnotes
United States,Statewide (20); Affected Counties (1); High-risk Groups (4); Other (4); No Action (22),All Non-Essential Businesses (25); All Non-Essential Retail Businesses (3); Other (3); No Action (20),All Gatherings Prohibited (13); >10 Prohibited (23); 25+ Prohibited (1); 50+ Prohibited (2); Other (3); No action (7),Yes (46); Effectively Closed (2); Other (1); No (2),Closed except for takeout/delivery (44); Limited on-site service (4); Other (2); No action (1),Yes (11); No (40),Yes (51); No (0),
Alabama,-,-,25+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Alaska,High-risk Groups,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,"1, 2"
Arizona,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Arkansas,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
California,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,3
Colorado,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Connecticut,-,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,4
Delaware,Statewide,All Non-Essential Businesses,50+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
District of Columbia,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Florida,Other,-,-,Yes,Closed except for takeout/delivery,-,Yes,1
Georgia,High-risk Groups,-,-,Yes,Limited On-site Service,Yes,Yes,
Hawaii,Statewide,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Idaho,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,
Illinois,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Indiana,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Iowa,-,Other,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,5
Kansas,Other,-,>10 People Prohibited,Yes,Limited On-site Service,-,Yes,1
Kentucky,-,All Non-Essential Retail Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,6
Louisiana,Statewide,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Maine,-,All Non-Essential Businesses,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,
Maryland,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Massachusetts,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Michigan,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Minnesota,Statewide,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Mississippi,-,-,>10 People Prohibited,Yes,Limited On-site Service,Yes,Yes,
Missouri,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Montana,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Nebraska,-,-,Other,Other,Other,-,Yes,7
Nevada,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,6
New Hampshire,Statewide,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
New Jersey,Statewide,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
New Mexico,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Limited On-site Service,-,Yes,6
New York,High-risk Groups,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
North Carolina,Statewide,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,6
North Dakota,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Ohio,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Oklahoma,High-risk Groups,Other,>10 People Prohibited,Yes,Other,-,Yes,8
Oregon,Statewide,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Pennsylvania,Affected Counties,All Non-Essential Businesses,-,Yes,Closed except for takeout/delivery,-,Yes,
Rhode Island,Other,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,1
South Carolina,-,-,50+ People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
South Dakota,-,-,>10 People Prohibited,Yes,-,-,Yes,
Tennessee,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Texas,Other,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,1
Utah,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Vermont,Statewide,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,9
Virginia,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Washington,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
West Virginia,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Wisconsin,Statewide,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Wyoming,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
