Location,Stay At Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,Footnotes
United States,Statewide (28); Affected Counties (1); High-risk Groups (4); No Action (18),All Travelers (8); All Air Travelers (1); From Certain States (5); Other (1); No Action (36),All Non-Essential Businesses (29); All Non-Essential Retail Businesses (4); Other (4); No Action (14),All Gatherings Prohibited (16); >10 Prohibited (22); 50+ Prohibited (2); Other (5); No action (6),Yes (46); Effectively Closed (2); Other (1); No (2),Closed except for takeout/delivery (44); Limited on-site service (5); Other (1); No action (1),Yes (12); No (39),Yes (51); No (0),
Alabama,-,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,1
Alaska,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Arizona,Statewide,-,All Non-Essential Businesses,-,Yes,Closed except for takeout/delivery,-,Yes,
Arkansas,-,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
California,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,2
Colorado,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Connecticut,-,-,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,3
Delaware,Statewide,All Travelers,All Non-Essential Businesses,50+ People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
District of Columbia,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Florida,-,From Certain States,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Georgia,High-risk Groups,-,-,Other,Yes,Limited On-site Service,Yes,Yes,4
Hawaii,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Idaho,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,
Illinois,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Indiana,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Iowa,-,-,Other,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,1
Kansas,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Limited On-site Service,-,Yes,
Kentucky,-,Other,All Non-Essential Retail Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,4
Louisiana,Statewide,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Maine,-,-,All Non-Essential Businesses,>10 People Prohibited,-,Closed except for takeout/delivery,-,Yes,
Maryland,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
Massachusetts,-,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Michigan,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Minnesota,Statewide,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,
Mississippi,-,-,-,>10 People Prohibited,Yes,Limited On-site Service,Yes,Yes,
Missouri,-,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Montana,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
Nebraska,-,-,-,Other,Other,Limited On-site Service,-,Yes,5
Nevada,-,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,4
New Hampshire,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
New Jersey,Statewide,-,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,
New Mexico,-,All Air Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Limited On-site Service,-,Yes,4
New York,High-risk Groups,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,
North Carolina,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,4
North Dakota,-,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,
