"Location","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (41); High-risk Groups (2); Other (1); No Action (7)","All Travelers (11); All Air Travelers (1); From Certain States (5); Other (1); No Action (33)","All Non-Essential Businesses (35); All Non-Essential Retail Businesses (4); Other (4); No Action (8)","All Gatherings Prohibited (17); >10 Prohibited (26); 50+ Prohibited (1); Other (4); No action (3)","Yes (49); Effectively Closed (2)","Closed except for takeout/delivery (47); Limited on-site service (2); Other (1); No action (1)","Yes (13); No (38)","Yes (51); No (0)"
"Alabama","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Alaska","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arizona","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"California","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","1"
"Colorado","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Connecticut","Statewide","-","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","2, 3"
"Delaware","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","Statewide","From Certain States","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","-","Yes","4"
"Georgia","Statewide","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","5"
"Hawaii","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes"
"Illinois","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","5"
"Kansas","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Limited On-site Service","-","Yes"
"Kentucky","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","2, 6"
"Louisiana","Statewide","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
