"Location","State Is Easing Social Distancing Measures","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (4); No (47)","Statewide (42); High-risk Groups (2); Other (1); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (32); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (8); No Action (7)","All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No action (3)","Yes (49); Effectively Closed (2)","Closed except for takeout/delivery (46); Limited on-site service (3); Other (1); No action (1)","Yes (15); No (36)","Yes (51); No (0)"
"Alabama","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Alaska","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arizona","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"California","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","1"
"Colorado","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Connecticut","-","Statewide","-","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","2, 3"
"Delaware","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","-","Yes","4"
"Georgia","Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Yes","Limited On-site Service*","Yes","Yes"
"Hawaii","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes"
"Illinois","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-","-","Certain Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","5"
"Kansas","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Limited On-site Service","-","Yes"
