"Location","State Is Easing Social Distancing Measures","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (4); No (47)","Statewide (42); High-risk Groups (2); Other (1); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (32); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (8); No Action (7)","All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No Action (3)","Closed (16); Closed for School Year (28); Recommended Closure (1); Recommended Closure for School Year (6)","Closed Except for Takeout/Delivery (46); Limited On-Site Service (3); Other (1); No Action (1)","Yes (15); No (36)","Yes (51); No (0)"
"Alabama","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Alaska","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Arizona","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Arkansas","-","-","-","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"California","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Colorado","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Connecticut","-","Statewide","-","All Non-Essential Businesses","Other","Closed","Closed Except for Takeout/Delivery","Yes","Yes","1, 2"
"Delaware","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"District of Columbia","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Florida","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","3"
"Georgia","Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Limited On-Site Service*","Yes","Yes"
"Hawaii","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
