date,country_name,country_code,s1_school_closing,s1_is_general,s2_workplace_closing,s2_is_general,s3_cancel_public_events,s3_is_general,s4_close_public_transport,s4_is_general,s5_public_information_campaigns,s5_is_general,s6_restrictions_on_internal_movement,s6_is_general,s7_international_travel_controls,s12_testing_framework,s13_contact_tracing,stringency_index,confirmed,deaths,recovered
20200122,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200123,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200124,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200125,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200126,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200127,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200128,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200129,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200130,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200131,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200201,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200202,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200203,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200204,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200205,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200206,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200207,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200208,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200209,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200210,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200211,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200212,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200213,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200214,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200215,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200216,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200217,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200218,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200219,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200220,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200221,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200222,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
20200223,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0
20200224,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0
20200225,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0
20200226,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0
20200227,Afghanistan,AFG,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0
