date,state_name,totaltestresults,confirmed,recovered,deaths
20200507,Alaska,24341,374.0,291.0,10.0
20200507,Alabama,115173,8898.0,,349.0
20200507,Arkansas,59995,3611.0,2123.0,87.0
20200507,Arizona,111086,9945.0,1722.0,450.0
20200507,California,842874,60614.0,,2504.0
20200507,Colorado,91347,17830.0,2869.0,921.0
20200507,Connecticut,116174,31784.0,5413.0,2797.0
20200507,District of Columbia,25856,5654.0,825.0,285.0
20200507,Delaware,27326,5939.0,2110.0,202.0
20200507,Florida,492950,38828.0,,1667.0
20200507,Georgia,217303,31439.0,,1336.0
20200507,Hawaii,35541,626.0,558.0,17.0
20200507,Iowa,66427,11059.0,4266.0,231.0
20200507,Idaho,30890,2158.0,1399.0,66.0
20200507,Illinois,379043,70873.0,,3111.0
20200507,Indiana,124782,22503.0,,1414.0
20200507,Kansas,44822,6144.0,323.0,147.0
20200507,Kentucky,78606,5934.0,2125.0,283.0
20200507,Louisiana,200767,30652.0,20316.0,2208.0
20200507,Massachusetts,351632,73721.0,,4552.0
20200507,Maryland,148600,29374.0,2029.0,1503.0
20200507,Maine,23422,1330.0,787.0,62.0
20200507,Michigan,247062,45646.0,15659.0,4343.0
20200507,Minnesota,97421,9365.0,5308.0,508.0
20200507,Missouri,103622,9341.0,,418.0
20200507,Mississippi,80787,8686.0,4421.0,396.0
20200507,Montana,20247,456.0,417.0,16.0
20200507,North Carolina,171328,13397.0,,507.0
20200507,North Dakota,40867,1371.0,601.0,31.0
20200507,Nebraska,37758,6771.0,,86.0
20200507,New Hampshire,28806,2740.0,1110.0,111.0
20200507,New Jersey,292658,133635.0,15642.0,8801.0
20200507,New Mexico,85684,4291.0,1073.0,169.0
20200507,Nevada,51357,5766.0,205.0,286.0
20200507,New York,1089916,327649.0,55547.0,20828.0
20200507,Ohio,176059,22131.0,,1271.0
20200507,Oklahoma,86887,4330.0,2985.0,260.0
20200507,Oregon,70458,2989.0,1125.0,121.0
20200507,Pennsylvania,262788,52915.0,,3416.0
20200507,Rhode Island,82318,10530.0,696.0,388.0
20200507,South Carolina,77482,6936.0,3816.0,305.0
20200507,South Dakota,20114,2905.0,2028.0,31.0
20200507,Tennessee,236328,14096.0,6783.0,237.0
20200507,Texas,455162,35390.0,18440.0,973.0
20200507,Utah,134543,5724.0,2640.0,61.0
20200507,Virginia,123152,21570.0,2825.0,769.0
20200507,Vermont,18451,916.0,718.0,53.0
20200507,Washington,224813,15905.0,,870.0
20200507,Wisconsin,102250,9215.0,4520.0,374.0
20200507,West Virginia,57521,1287.0,716.0,51.0
20200507,Wyoming,12034,631.0,416.0,7.0
20200506,Alaska,23655,372.0,284.0,10.0
20200506,Alabama,109516,8581.0,,340.0
20200506,Arkansas,59003,3568.0,2109.0,85.0
20200506,Arizona,91737,9707.0,1693.0,426.0
20200506,California,809036,58815.0,,2412.0
20200506,Colorado,85976,17364.0,2801.0,903.0
20200506,Connecticut,111447,30995.0,4346.0,2718.0
20200506,District of Columbia,24984,5461.0,808.0,277.0
20200506,Delaware,26468,5778.0,2008.0,193.0
20200506,Florida,480051,38002.0,,1605.0
20200506,Georgia,204137,30696.0,,1311.0
20200506,Hawaii,35199,625.0,551.0,17.0
20200506,Iowa,63171,10404.0,3803.0,219.0
20200506,Idaho,30545,2127.0,1379.0,65.0
20200506,Illinois,361260,68232.0,,2974.0
20200506,Indiana,120496,21870.0,,1377.0
20200506,Kansas,42114,5734.0,318.0,144.0
20200506,Kentucky,61014,5822.0,2058.0,275.0
20200506,Louisiana,194672,30399.0,20316.0,2115.0
20200506,Massachusetts,339639,72025.0,,4420.0
20200506,Maryland,144012,28163.0,1903.0,1437.0
20200506,Maine,23346,1254.0,766.0,62.0
20200506,Michigan,233231,45054.0,15659.0,4250.0
20200506,Minnesota,93232,8579.0,5005.0,485.0
20200506,Missouri,100747,9102.0,,396.0
20200506,Mississippi,80525,8424.0,4421.0,374.0
20200506,Montana,19704,456.0,417.0,16.0
20200506,North Carolina,164482,12758.0,,477.0
20200506,North Dakota,38632,1323.0,582.0,31.0
20200506,Nebraska,36128,6438.0,,82.0
20200506,New Hampshire,27733,2636.0,1105.0,92.0
20200506,New Jersey,288920,131890.0,15642.0,8549.0
20200506,New Mexico,83251,4138.0,964.0,162.0
20200506,Nevada,49275,5663.0,203.0,276.0
20200506,New York,1055921,323978.0,54597.0,19877.0
20200506,Ohio,168929,21576.0,,1225.0
20200506,Oklahoma,82890,4201.0,2909.0,253.0
20200506,Oregon,67976,2916.0,1125.0,115.0
20200506,Pennsylvania,256340,51845.0,,3106.0
20200506,Rhode Island,79373,10205.0,665.0,370.0
20200506,South Carolina,77482,6936.0,3816.0,305.0
20200506,South Dakota,19416,2779.0,1977.0,29.0
20200506,Tennessee,227101,13938.0,6564.0,239.0
20200506,Texas,438938,34422.0,17622.0,948.0
20200506,Utah,131002,5595.0,2509.0,58.0
20200506,Virginia,113708,20256.0,2617.0,713.0
20200506,Vermont,17876,908.0,706.0,52.0
20200506,Washington,219453,15594.0,,862.0
20200506,Wisconsin,96727,8901.0,4348.0,362.0
20200506,West Virginia,55784,1248.0,716.0,50.0
20200506,Wyoming,12007,604.0,409.0,7.0
20200505,Alaska,22692,371.0,277.0,9.0
20200505,Alabama,106766,8285.0,,313.0
20200505,Arkansas,54635,3496.0,2041.0,80.0
20200505,Arizona,88260,9305.0,1671.0,395.0
20200505,California,779902,56212.0,,2317.0
20200505,Colorado,85004,16907.0,2743.0,851.0
20200505,Connecticut,108643,30621.0,4346.0,2633.0
20200505,District of Columbia,24329,5322.0,667.0,264.0
20200505,Delaware,24680,5371.0,1847.0,187.0
20200505,Florida,465691,37439.0,,1536.0
20200505,Georgia,200883,29711.0,,1288.0
20200505,Hawaii,33999,621.0,548.0,17.0
20200505,Iowa,60569,10111.0,3572.0,207.0
20200505,Idaho,30308,2106.0,1358.0,64.0
20200505,Illinois,346286,65962.0,,2838.0
20200505,Indiana,115834,21033.0,,1326.0
20200505,Kansas,40092,5458.0,296.0,137.0
20200505,Kentucky,60047,5245.0,1892.0,261.0
20200505,Louisiana,188231,29996.0,20316.0,2115.0
20200505,Massachusetts,333349,70271.0,,4212.0
20200505,Maryland,140103,27117.0,1810.0,1390.0
20200505,Maine,20772,1226.0,741.0,61.0
20200505,Michigan,222836,44397.0,15659.0,4179.0
20200505,Minnesota,88009,7851.0,4614.0,455.0
20200505,Missouri,95066,8916.0,,377.0
20200505,Mississippi,80308,8207.0,4421.0,342.0
20200505,Montana,15272,456.0,410.0,16.0
20200505,North Carolina,151800,12256.0,,452.0
20200505,North Dakota,36421,1266.0,559.0,25.0
20200505,Nebraska,34609,6083.0,,78.0
20200505,New Hampshire,26870,2588.0,1019.0,86.0
20200505,New Jersey,287623,130593.0,15642.0,8244.0
20200505,New Mexico,81720,4031.0,842.0,156.0
20200505,Nevada,47884,5594.0,200.0,268.0
20200505,New York,1028899,321192.0,58950.0,19645.0
20200505,Ohio,160735,20969.0,,1135.0
20200505,Oklahoma,79417,4127.0,2830.0,247.0
20200505,Oregon,65424,2839.0,860.0,113.0
20200505,Pennsylvania,250882,50957.0,,3012.0
20200505,Rhode Island,76435,9933.0,639.0,355.0
20200505,South Carolina,67771,6757.0,3622.0,283.0
20200505,South Dakota,19022,2721.0,1895.0,24.0
20200505,Tennessee,218862,13690.0,6356.0,226.0
20200505,Texas,427210,33369.0,16791.0,906.0
20200505,Utah,126715,5449.0,2387.0,56.0
20200505,Virginia,113708,20256.0,2617.0,713.0
20200505,Vermont,17518,907.0,,52.0
20200505,Washington,216320,15462.0,,841.0
20200505,Wisconsin,92533,8566.0,4131.0,353.0
20200505,West Virginia,54823,1238.0,630.0,50.0
20200505,Wyoming,10915,596.0,405.0,7.0
20200504,Alaska,21723,370.0,263.0,9.0
20200504,Alabama,103117,8025.0,,296.0
20200504,Arkansas,54442,3458.0,2016.0,81.0
20200504,Arizona,85253,8919.0,1632.0,362.0
20200504,California,747874,54937.0,,2254.0
20200504,Colorado,83090,16635.0,2650.0,842.0
20200504,Connecticut,102493,29287.0,4346.0,2495.0
20200504,District of Columbia,23795,5170.0,666.0,258.0
20200504,Delaware,24110,5288.0,1716.0,182.0
20200504,Florida,444270,36897.0,,1423.0
20200504,Georgia,183325,29368.0,,1222.0
20200504,Hawaii,33866,620.0,544.0,17.0
20200504,Iowa,57161,9703.0,3486.0,188.0
20200504,Idaho,29807,2061.0,1267.0,64.0
20200504,Illinois,333147,63840.0,,2662.0
20200504,Indiana,113297,20507.0,,1264.0
20200504,Kansas,38603,5245.0,291.0,136.0
20200504,Kentucky,58409,5130.0,1892.0,253.0
20200504,Louisiana,180931,29673.0,20316.0,2064.0
20200504,Massachusetts,324268,69087.0,,4090.0
20200504,Maryland,136995,26408.0,1695.0,1317.0
20200504,Maine,20751,1205.0,720.0,57.0
20200504,Michigan,222389,43950.0,15659.0,4049.0
20200504,Minnesota,85941,7234.0,4212.0,428.0
20200504,Missouri,91451,8754.0,,358.0
20200504,Mississippi,79677,7877.0,4421.0,310.0
20200504,Montana,15088,457.0,404.0,16.0
20200504,North Carolina,146439,11848.0,,430.0
20200504,North Dakota,34754,1225.0,540.0,25.0
20200504,Nebraska,33754,5910.0,,78.0
20200504,New Hampshire,26870,2588.0,1017.0,86.0
20200504,New Jersey,277220,128269.0,15642.0,7910.0
20200504,New Mexico,77977,3850.0,832.0,151.0
20200504,Nevada,46166,5491.0,185.0,262.0
20200504,New York,1007310,318953.0,58950.0,19415.0
20200504,Ohio,155155,20474.0,,1056.0
20200504,Oklahoma,63848,4044.0,2682.0,238.0
20200504,Oregon,63457,2759.0,860.0,109.0
20200504,Pennsylvania,245590,50092.0,,2458.0
20200504,Rhode Island,74136,9652.0,601.0,341.0
20200504,South Carolina,64188,6626.0,3622.0,275.0
20200504,South Dakota,18713,2668.0,1830.0,21.0
20200504,Tennessee,211443,13571.0,6081.0,219.0
20200504,Texas,407398,32332.0,16090.0,884.0
20200504,Utah,124661,5317.0,2342.0,50.0
20200504,Virginia,112293,19492.0,2547.0,684.0
20200504,Vermont,17332,902.0,,52.0
20200504,Washington,212005,15185.0,,834.0
20200504,Wisconsin,88703,8236.0,3973.0,340.0
20200504,West Virginia,53239,1206.0,611.0,50.0
20200504,Wyoming,10454,586.0,391.0,7.0
20200503,Alaska,21578,368.0,262.0,9.0
20200503,Alabama,92500,7725.0,,290.0
20200503,Arkansas,52890,3431.0,1999.0,76.0
20200503,Arizona,81119,8640.0,1597.0,362.0
20200503,California,715751,53616.0,,2215.0
20200503,Colorado,79906,16225.0,2607.0,832.0
20200503,Connecticut,102493,29287.0,4346.0,2436.0
20200503,District of Columbia,23102,5016.0,666.0,251.0
20200503,Delaware,23737,5208.0,1640.0,177.0
20200503,Florida,428189,36078.0,,1403.0
20200503,Georgia,175096,28602.0,,1177.0
20200503,Hawaii,32950,620.0,541.0,16.0
20200503,Iowa,53186,9169.0,3325.0,184.0
20200503,Idaho,29807,2061.0,1267.0,63.0
20200503,Illinois,319313,61499.0,,2618.0
20200503,Indiana,108859,19933.0,,1246.0
20200503,Kansas,36778,5030.0,286.0,134.0
20200503,Kentucky,57649,4879.0,1752.0,248.0
20200503,Louisiana,176160,29340.0,17303.0,1969.0
20200503,Massachusetts,314646,68087.0,,4004.0
20200503,Maryland,132794,25462.0,1666.0,1281.0
20200503,Maine,20731,1185.0,706.0,57.0
20200503,Michigan,212532,43754.0,15659.0,4049.0
20200503,Minnesota,82632,6663.0,3015.0,419.0
20200503,Missouri,82976,8386.0,,352.0
20200503,Mississippi,77593,7550.0,3413.0,303.0
20200503,Montana,15007,455.0,404.0,16.0
20200503,North Carolina,143835,11664.0,,422.0
20200503,North Dakota,33353,1191.0,517.0,25.0
20200503,Nebraska,31262,5326.0,,76.0
20200503,New Hampshire,28393,2429.0,1107.0,84.0
20200503,New Jersey,275066,126744.0,15642.0,7871.0
20200503,New Mexico,74944,3732.0,812.0,139.0
20200503,Nevada,45269,5426.0,182.0,257.0
20200503,New York,985911,316415.0,58950.0,19189.0
20200503,Ohio,150166,19914.0,,1038.0
20200503,Oklahoma,63776,3972.0,2635.0,238.0
20200503,Oregon,62054,2680.0,860.0,109.0
20200503,Pennsylvania,240641,49267.0,,2444.0
20200503,Rhode Island,71927,9477.0,565.0,320.0
20200503,South Carolina,64188,6626.0,3622.0,275.0
20200503,South Dakota,18417,2631.0,1799.0,21.0
20200503,Tennessee,204607,13177.0,5814.0,210.0
20200503,Texas,390560,31548.0,15544.0,867.0
20200503,Utah,122102,5175.0,2238.0,50.0
20200503,Virginia,108002,18671.0,2497.0,660.0
20200503,Vermont,16954,897.0,,52.0
20200503,Washington,207315,15003.0,,830.0
20200503,Wisconsin,85961,7964.0,3723.0,339.0
20200503,West Virginia,51638,1191.0,611.0,50.0
20200503,Wyoming,10219,579.0,391.0,7.0
20200502,Alaska,21399,365.0,261.0,9.0
20200502,Alabama,92209,7434.0,,288.0
20200502,Arkansas,51582,3372.0,1987.0,73.0
20200502,Arizona,77997,8364.0,1565.0,348.0
20200502,California,686803,52197.0,,2171.0
20200502,Colorado,76949,15768.0,2553.0,820.0
20200502,Connecticut,100257,28764.0,4346.0,2339.0
20200502,District of Columbia,22004,4797.0,666.0,240.0
20200502,Delaware,23112,5038.0,1546.0,168.0
20200502,Florida,416012,35463.0,,1388.0
20200502,Georgia,174800,28306.0,,1174.0
20200502,Hawaii,31985,619.0,532.0,16.0
20200502,Iowa,46349,8641.0,3156.0,175.0
20200502,Idaho,29490,2035.0,1215.0,63.0
20200502,Illinois,299896,58505.0,,2559.0
20200502,Indiana,104141,19295.0,,1229.0
20200502,Kansas,34942,4746.0,286.0,131.0
20200502,Kentucky,57649,4879.0,1752.0,248.0
