state_name,state_is_easing_social_distancing_measures,stay_at_home_order,date_when_stay_at_home_ordered,mandatory_quarantine_for_travelers,non-essential_business_closures,large_gatherings_ban,school_closures,restaurant_limits,primary_election_postponement,emergency_declaration,date_of_state_emergency_declared,waive_cost_sharing_for_covid-19_treatment,free_cost_vaccine_when_available,state_requires_waiver_of_prior_authorization_requirements,early_prescription_refills,premium_payment_grace_period,marketplace_special_enrollment_period(SEP),section_1135_waiver,paid_sick_leave,daycares
Alabama,Yes,Lifted,4-Apr,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,13-Mar,,,,,,,Approved,,Yes
Alaska,Yes,Lifted,28-Mar,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to 20+ People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,11-Mar,,,,State Requires,All Policies,,Approved,,Yes
Arizona,,Statewide,31-Mar,From Certain States,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,11-Mar,,,,,,,Approved,Enacted,Yes
Arkansas,,,No,,,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,11-Mar,,,,,COVID-19 Diagnosis/Impacts Only,,Approved,,Yes
California,,Statewide,19-Mar,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,,Yes,4-Mar,,,,State Requires,,Yes,Approved,Enacted,Yes
Colorado,Yes,Rolled Back to High Risk Groups,26-Mar,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to >10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,10-Mar,,,,State Requires,,Yes,Approved,Enacted,Restricted
Connecticut,,Statewide,23-Mar,,All Non-Essential Businesses Closed,Other,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,10-Mar,,,,,COVID-19 Diagnosis/Impacts Only,Yes,Approved,Enacted,Yes
Delaware,,Statewide,24-Mar,All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,12-Mar,,,For COVID-19 Testing and Treatment,State Requires,COVID-19 Diagnosis/Impacts Only,,Approved,,Yes
District of Columbia,,Statewide,30-Mar,,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,11-Mar,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,,Yes,Approved,Enacted,Yes
Florida,Yes,Lifted,3-Apr,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Other,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,1-Mar,,,,State Requires,,,Approved,,Yes
Georgia,Yes,Rolled Back to High Risk Groups,3-Apr,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes,14-Mar,,,,State Requires,All Policies,,Approved,,No
Hawaii,,Statewide,25-Mar,All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,4-Mar,,,,,,,Approved,,Yes
Idaho,Yes,Lifted,25-Mar,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Lifted,Recommended Closure,Closed Except for Takeout/Delivery,,Yes,13-Mar,State-Insurer Agreement,,,,,,Approved,,Yes
Illinois,,Statewide,21-Mar,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,9-Mar,,,,,All Policies,,Approved,,Yes
Indiana,Yes,Lifted,25-Mar,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to >25 People Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,Yes,6-Mar,,,,,,,Approved,,Yes
Iowa,Yes,,No,,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,9-Mar,,,,,,,Approved,,Yes
Kansas,Yes,Lifted,30-Mar,From Certain States,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Limited Dine-in Service,,Yes,9-Mar,,,,,,,Approved,,No
Kentucky,,Statewide,March 26?(advisory),Other,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,6-Mar,,State Requires,For COVID-19 Testing,State Requires,,,Approved,Proposed - March 2020,Yes
Louisiana,,Statewide,23-Mar,,Some Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,11-Mar,,State Requires,For COVID-19 Testing,State Requires,All Policies,,Approved,,Yes
